word,score
wine,5595.8361962586887
flavors,4521.9433929606439
fruit,4110.6257792605647
acidity,3464.2317310988324
aromas,3417.8715264803664
palate,3260.0412117046467
drink,3134.1991453262594
finish,3133.3858095816854
tannins,3091.8612856162213
black,2984.5115511121967
ripe,2983.4029421762343
cherry,2954.847026747957
red,2570.8520006463091
spice,2267.7604657791235
fresh,2207.0403661724422
dry,2164.6453859637832
rich,2161.1590145231362
notes,2153.1207357766225
berry,2116.8716491552623
oak,2068.7586602288447
soft,1970.0470511083283
fruits,1925.9440782923964
plum,1895.401641931436
nose,1875.2157273716048
crisp,1862.2122128258575
sweet,1832.0697204105738
apple,1829.8028507539436
light,1826.8901219481818
texture,1771.0095073915661
white,1727.8034971447387
offers,1689.6316059222681
blackberry,1683.8984859747191
citrus,1646.9556239482113
dark,1625.3895909327241
bodied,1622.1064558823073
bright,1609.226192929777
blend,1598.3173841634514
fruity,1588.8074111553485
vanilla,1529.8247219145292
shows,1526.3470847636249
juicy,1459.5392716365391
cabernet,1441.3144380851697
green,1424.5679670378197
good,1391.807119797234
pepper,1390.2168858542648
firm,1384.2076862982635
character,1373.6922944057333
raspberry,1371.1406412987321
lemon,1361.9058679843706
peach,1301.2121979969018
balanced,1292.0343178796979
touch,1288.3091339329392
pear,1239.7869414835732
chocolate,1211.4266595726167
structure,1203.141478986995
wood,1198.2388969464648
like,1168.5949819444791
smooth,1167.965649891991
dried,1162.5752493317464
spicy,1131.4176673372306
years,1117.2029680205183
fine,1112.3732668842749
medium,1097.371131340135
sauvignon,1095.0893718112684
currant,1086.0242945343421
ready,1040.3480664687365
herb,1037.8410619960312
mineral,1026.2276616167956
pinot,1026.2097245780481
just,1021.1424943034178
tannic,1018.3438483592297
style,1007.6007641755159
herbal,1002.393343368543
concentrated,998.58725116828418
note,992.85135301171113
mouth,989.99019550519688
tart,987.94203142941387
flavor,986.28873453788094
hint,982.74001817978478
clean,970.79541515418134
creamy,957.16965393834175
toast,948.93921372366242
aging,947.50398294224408
orange,946.10672094431857
lime,937.0410069556998
age,936.99734383269845
licorice,930.20173459058719
merlot,925.35557483888749
bit,923.43027922458828
balance,919.9526344582373
structured,916.00689709975984
long,915.3981318577944
opens,909.15806726363223
lead,907.62152527147134
alongside,907.24973955328903
dense,905.96110405875947
easy,905.74221876614399
tight,877.1416209058084
delicious,875.40085137683059
slightly,843.76016533058669
earthy,839.84389856351686
syrah,837.49475236870171
great,837.26794254752508
leather,836.31206463153887
vineyard,835.89447343421728
tobacco,835.11276125418067
hints,829.93842087900464
attractive,828.90266593155195
savory,828.20844440567896
simple,812.56289350522241
lively,810.68606992260948
chardonnay,807.38635153231053
elegant,805.4614849420534
richness,791.65447183298943
yellow,787.56502625623341
mouthfeel,785.08357367829637
young,785.02236701692482
smoky,772.4360800052217
strawberry,770.43740772622152
freshness,759.91327353611644
melon,751.06054579688657
complex,746.86643924436294
feel,740.83050701483796
grapefruit,738.56415291843382
feels,737.52101163460009
herbs,731.50088221402029
cherries,724.54134812694099
delivers,718.04724869617553
cassis,717.45987581230315
honey,717.09211476790517
2018,715.5166850954181
cola,715.17398002023333
pineapple,714.35307388333842
color,713.07085556598031
apricot,710.23651855052128
refreshing,708.14451604782528
little,706.43433716534935
coffee,705.52199849613714
tropical,704.40800494407097
weight,702.1969430707087
time,701.69402590617256
new,700.19122912047192
solid,697.34502458663258
big,694.40117594179219
vintage,692.36457326811592
clove,692.09534897109859
round,690.59933715001443
lightly,681.33934682484789
tastes,681.2761053807875
intense,680.33895208021181
wild,679.31588070357668
stone,677.07428044697247
edge,669.06947276848848
high,663.69664720342348
floral,662.09026163418753
barrel,659.88142888748882
gives,659.20214639414212
core,658.09521021778812
come,657.04315517751354
generous,654.80651495548022
tangy,652.14427803935178
aftertaste,648.22637755188566
showing,644.13498370922434
plenty,642.88474582581171
finishes,642.69815982877265
cinnamon,630.22024525429981
bitter,627.6012511318396
earth,623.40874651952913
rounded,611.76341547669597
drinking,609.23641200930706
zest,608.67022416241764
baked,608.33746645782503
perfumed,607.24898524149989
minerality,602.77041462202214
alcohol,600.43917908710068
pretty,596.36377649647636
best,595.91848549860333
2017,589.20987841153806
flower,588.81825496724298
textured,587.61894683310447
toasty,584.12435642123921
scents,581.83157559617666
noir,580.55633402251635
complexity,577.14240968507897
make,576.33529249584365
body,575.50240899693767
cranberry,574.07753742600607
quite,573.80318384368434
almond,565.99493352405784
concentration,564.67861498352192
jammy,563.61652176164716
glass,561.63189448379171
fruitiness,560.83100239976534
crushed,560.65573336223576
comes,554.50439704518351
bottling,551.82304480188714
silky,551.30912752070014
followed,548.16697163275126
cedar,546.35107599600974
toasted,545.32263675618947
mature,542.74819089489176
blueberry,540.37724150286999
strong,539.73292710266355
warm,538.95850898887591
end,538.41254292523445
aged,537.81790321407266
mocha,534.79547064417329
oaky,533.74743005350399
spices,533.41456646118411
zesty,532.56089946092015
blanc,529.42664602798322
powerful,529.03419038255777
nice,526.90265267470852
delicate,524.97217614340047
smoke,518.27856734339809
grapes,516.82276219285404
2020,515.35378355749708
forward,515.26680287883755
tones,505.4079256330516
needs,499.2281520983293
aromatic,498.4463803834422
candied,498.09628078878831
layers,495.56379829002452
jam,493.24922801815535
franc,492.77272459529928
sweetness,490.57259748154058
roasted,489.09091576639895
mint,488.28808711875502
vibrant,487.16294823764753
caramel,486.74529223666144
anise,486.55003286209876
lean,484.57776630249055
bold,484.51097895477795
dusty,484.06694421761875
hard,481.80963135623347
way,480.95649853857839
brings,480.35329036687585
baking,478.50078068622122
whiff,475.50560667292467
subtle,470.66584859983607
bottle,468.27972115313793
2016,468.0404793794998
depth,467.19726521026541
peppery,464.87558187719623
espresso,464.11811130841767
right,463.17222083721151
makes,462.79780699727962
offering,462.2059140244869
sour,460.77815406004049
heavy,460.04454076792939
grape,459.40327575257209
rose,459.09374045545593
year,457.98708818696281
mix,456.60430494095857
riesling,455.34940733794315
pair,453.80149059244491
deep,452.26028881165473
lush,452.1165894054617
berries,446.14761513559193
peel,445.81986777043414
malbec,443.85578558770396
pure,442.79073028274951
exotic,440.29775616036767
wines,437.65369650089093
estate,435.62668130321612
power,435.2149528373983
brisk,433.60194415362207
packed,433.13890953558229
meat,432.38807277103263
blackberries,431.9668955669872
giving,427.78973871194745
polished,426.84040133376152
2019,426.76986300212093
flowers,426.69340064591717
tangerine,425.00822748577383
tannin,424.53189228717935
currants,422.71098358784832
close,422.37903251633566
velvety,421.23061030838284
lingering,418.96572650789699
cut,418.32698470698688
rosé,417.76693336583139
bouquet,414.8516404760299
layered,412.53601529427897
fragrant,412.00111128207413
integrated,410.46920008229313
grilled,409.83009184505153
old,409.77696272940551
enjoy,406.98219471577266
sangiovese,404.72860944345251
sharp,401.79674942355393
open,401.5779105177038
violet,398.90576745800627
chewy,398.78805968668752
nicely,396.00212840757365
price,395.28058356965983
acids,393.98888223540359
lovely,393.85083538767969
100,393.55911044112105
french,392.92761664121934
grenache,391.99047627142664
taste,390.19727875002354
supple,390.05805365727025
develop,388.48607181940213
varietal,388.25628127871272
intensity,385.36009826802922
quality,382.15409455773386
cool,381.00993188307592
sugar,379.65484238764748
does,375.03898763131423
food,374.93977547507916
blue,371.68785638820975
months,371.03212902475178
pink,370.0425950781131
variety,369.77858241059664
prune,368.91408974379743
sense,367.14900697444273
apples,366.78449964217032
vineyards,366.67912182553698
straightforward,366.51665969905633
driven,366.29745638215906
tea,365.86382230815263
10,363.57217112982079
add,362.85250835588886
elegance,362.84628261575921
valley,361.91338038934424
impressive,361.07246859328211
petit,357.78992832694087
lots,357.59012351575132
vines,357.57646442712974
adds,357.22730915669581
pleasant,354.61423762472856
classic,354.07569072214062
accents,353.7093166642569
provide,353.43667328717498
nectarine,353.35706085027459
soon,351.22989270957834
sage,351.15876102063294
skin,350.48939449926814
winery,349.57224035241609
cocoa,347.84286874913727
expression,345.12650648877462
accented,344.71194526635264
verdot,344.65858785781296
potential,343.89601570074507
flavored,342.96854795334343
juice,335.98988541843511
grained,335.50778284802527
touches,334.76760152727167
ripeness,332.73640843223404
cab,332.61818086506565
better,331.36052487793881
pie,328.82031955923389
raspberries,325.10540326736111
carry,324.45047337427019
finishing,324.32111219436945
olive,323.68706327802994
mild,323.38839884032274
blossom,322.8031475618007
overall,321.55976189870921
acidic,316.73061351187101
forest,314.47549767284966
plump,314.09367787373287
smells,313.72133350394864
length,312.22734549594895
rustic,311.66141894129112
2015,311.51751710346167
backed,311.29328609833738
doesn,310.66533710757835
produced,310.5851483478786
cellar,310.56612638298549
aroma,310.07863114661995
buttered,308.15364950752462
raisin,307.33434422133024
somewhat,306.21791418017949
tomato,303.50510856300747
wet,302.94546584864418
astringent,301.18872030779619
beautiful,300.77229140899112
